Código	Foto Evento	Evento	QR-code Fotos	Link Fotos	Promoção	Local	Endereço	Cidade	Estado	Data de Início	Data de Término	Ano	Responsável	Tipo de Apresentação	Tipo de Exposição	Link  1 de Reportagem	Link 2 de Reportagem	Total	Comunidade	Ensino Básico Público	Ensino Básico Privado	Ensino Superior Público	Ensino Superior Privado	Total	Comunidade	Ensino Básico Público	Ensino Básico Privado	Ensino Superior Público	Ensino Superior Privado
E038		UEM NOS BAIRROS			PEC - UEM	Praça Central	Praça Central	Umuarama	Paraná	27/06/10	27/06/10	2010	Júlio César Coelho	Exposição															
E039		Semana da Matemática - UEL			UEL	Universidade Estadual de Londrina, Departamento de Matemática	Rodovia Celso Garcia Cid, PR 445, Km 380, Campus Universitário	Londrina	Paraná	13/09/10	14/09/10	2010	João Roberto Gerônimo	Exposição															
E040		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	15/09/10	17/09/10	2010	João Roberto Gerônimo	Exposição															
E041		Semana da Matemática			UNESPAR - Campus de Paranavaí	UNESPAR - Campus de Paranavaí	Avenida Gabriel Esperidião, SN	Paranavaí	Paraná	19/11/10	19/11/10	2010	João Roberto Gerônimo	Exposição															
E042		Mostra de Profissões - UEM			PEN - UEM	Universidade Estadual de Maringá, Estacionamento da Biblioteca Central, Bloco P03	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	06/04/11	07/04/11	2011	João Roberto Gerônimo	Mostra de Objetos															
E043		UEM NA REGIÃO			PEC - UEM	Centro de Formação “João XXIII”	Rua João Paulo XXIII, SN	Cidade Gaúcha	Paraná	30/06/11	01/07/11	2011	João Roberto Gerônimo	Exposição															
E044		Semana de Formação Continuada			DCI - UEM	Universidade Estadual de Maringá, Câmpus Regional de Goioerê	 Rua Reitor Zeferino Vaz, SN, Jardim Universitário	Goioerê	Paraná	20/07/11	21/07/11	2011	João Roberto Gerônimo	Exposição															
E045		IX Fórum de Extensão			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	10/08/11	12/08/11	2011	João Henrique Lorin	Comunicação															
E046		IX Fórum de Extensão			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	10/08/11	12/08/11	2011	Camila Hiromi Tamura	Pôster															
E047		IX Fórum de Extensão			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	10/08/11	12/08/11	2011	Juniormar Organista	Pôster															
E048		I Encosmat			UFMS - PP	Centro Internacional de Convenções de Ponta Porã Miguel Gomes	Rua Baltazar Saldanha, SN, Jardim Ipanema	Ponta Porã	Mato Grosso do Sul	24/08/11	26/08/11	2011	João Roberto Gerônimo	Exposição															
E049		UEM NA REGIÃO			PEC - UEM	Pavilhão do Parque do Povo	Rua João de Oliveira Dias	Goioerê	Paraná	22/09/11	23/09/11	2011	Júlio César Coelho	Exposição															
E050		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	26/09/11	30/09/11	2011	João Roberto Gerônimo	Exposição															
E051		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	26/09/11	30/09/11	2011	João Roberto Gerônimo	Minicurso															
E052		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	26/09/11	30/09/11	2011	João Roberto Gerônimo	Palestra															
